Name,Easting,Northing,Elevation,Date_Obs,Time_Obs,,
DHT89_B2_EXC-CT-LF_2,394855.2166,7616504.331,719.005051,6/25/2019,1:54:26 PM,,
DHT89_B2_EXC-CT-MF_5,394851.5886,7616510.504,719.005051,6/25/2020,,,
DHT89_B2_EXC-CT-MF_6,394850.2551,7616505.467,719.216099,6/25/2021,,,
DHT89_B2_EXC-CT-NF_1,394861.2023,7616507.986,719.216099,6/25/2019,1:50:33 PM,,
DHT89_B2_EXC-CT-NF_2,394860.0059,7616503.219,719.217269,6/25/2019,1:50:54 PM,,
DHT89_B2_EXC-CT-NF_3,394841.9367,7616513,718.701101,6/25/2019,1:50:44 PM,,
DHT89_B2_EXC-CT-NF_4,394840.7512,7616508.178,718.624149,6/25/2019,1:50:58 PM,,
DHT89_B2_EXC-CT-SF_3,394846.6265,7616511.77,718.898558,6/25/2019,1:53:21 PM,,
DHT89_B2_EXC-CT-SF_4,394845.402,7616506.744,718.854013,6/25/2019,1:52:49 PM,,
DHT89_B2_EXC-NP-LF_3,394861.9772,7616551.189,719.280277,6/25/2019,1:40:58 PM,,
DHT89_B2_EXC-NP-LF_4,394860.7931,7616546.605,719.265931,6/25/2019,1:41:32 PM,,
DHT89_B2_EXC-NP-MF_5,394865.3798,7616545.239,719.265931,6/25/2020,,,
DHT89_B2_EXC-NP-MF_6,394866.7027,7616550.22,718.951405,6/25/2021,,,
DHT89_B2_EXC-NP-NF_3,394852.1295,7616553.856,718.951405,6/25/2019,1:40:08 PM,,
DHT89_B2_EXC-NP-NF_4,394850.9019,7616548.904,718.929761,6/25/2019,1:40:25 PM,,
DHT89_B2_EXC-NP-SF_1,394871.4953,7616548.763,719.149461,6/25/2019,1:39:47 PM,,
DHT89_B2_EXC-NP-SF_2,394870.3722,7616543.909,719.141848,6/25/2019,1:40:14 PM,,
DHT89_B2_EXTRA3_1,394856.3666,7616487.697,719.196168,6/25/2019,1:56:35 PM,,
DHT89_B2_EXTRA3_2,394854.8361,7616482.918,719.149583,6/25/2019,1:56:50 PM,,
DHT89_B2_EXTRA3_3,394836.5515,7616492.436,718.266753,6/25/2019,1:56:32 PM,,
DHT89_B2_EXTRA3_4,394835.5073,7616487.774,718.076717,6/25/2019,1:56:49 PM,,
DHT89_B2_GH_1,394866.3679,7616528.336,719.258486,6/25/2019,1:47:55 PM,,
DHT89_B2_GH_2,394865.1494,7616523.6,719.302438,6/25/2019,1:48:15 PM,,
DHT89_B2_GH_3,394847.0591,7616533.326,719.009252,6/25/2019,1:47:46 PM,,
DHT89_B2_GH_4,394845.7376,7616528.462,719.039777,6/25/2019,1:47:59 PM,,
DHT89_B2_N_1,394864.7219,7616521.603,719.354519,6/25/2019,1:48:45 PM,,
DHT89_B2_N_2,394863.4701,7616516.747,719.313563,6/25/2019,1:49:05 PM,,
DHT89_B2_N_3,394845.2339,7616526.516,719.038849,6/25/2019,1:48:33 PM,,
DHT89_B2_N_4,394844.2709,7616521.924,718.964722,6/25/2019,1:48:55 PM,,
DHT89_B2_NP_1,394857.9756,7616494.327,719.206258,6/25/2019,1:55:45 PM,,
DHT89_B2_NP_2,394856.6512,7616489.672,719.207449,6/25/2019,1:56:05 PM,,
DHT89_B2_NP_3,394838.7965,7616499.419,718.495182,6/25/2019,1:54:50 PM,,
DHT89_B2_NP_4,394837.3364,7616494.455,718.406155,6/25/2019,1:55:16 PM,,
DHT89_B2_P_1,394868.0832,7616535.182,719.217983,6/25/2019,1:46:22 PM,,
DHT89_B2_P_2,394866.893,7616530.379,719.287086,6/25/2019,1:46:48 PM,,
DHT89_B2_P_3,394848.7452,7616540.09,718.994222,6/25/2019,1:44:34 PM,,
DHT89_B2_P_4,394847.5727,7616535.319,719.022286,6/25/2019,1:46:09 PM,,
DHT89_B2_SH_OUT_1,394869.8216,7616541.785,719.07331,6/25/2019,1:41:49 PM,,
DHT89_B2_SH_OUT_2,394868.4474,7616537.171,719.226051,6/25/2019,1:42:12 PM,,
DHT89_B2_SH_OUT_3,394850.4235,7616546.945,718.987234,6/25/2019,1:42:32 PM,,
DHT89_B2_SH_OUT_4,394849.2645,7616542.115,719.016888,6/25/2019,1:42:47 PM,,
DHT89_B2_SH-CT_1,394867.41,7616541.438,719.018029,6/25/2019,1:42:59 PM,,
DHT89_B2_SH-CT_2,394866.7814,7616539.101,719.076583,6/25/2019,1:43:27 PM,,
DHT89_B2_SH-CT_3,394861.9959,7616540.423,719.226246,6/25/2019,1:43:58 PM,,
DHT89_B2_SH-CT_4,394862.6338,7616542.749,719.204513,6/25/2019,1:44:12 PM,,
DHT89_B3_CT1_1,394887.2959,7616598.112,719.063247,6/25/2019,1:25:48 PM,,
DHT89_B3_CT1_2,394886.4302,7616593.252,719.106654,6/25/2019,1:26:04 PM,,
DHT89_B3_CT1_3,394867.5593,7616601.726,718.897626,6/25/2019,1:25:40 PM,,
DHT89_B3_CT1_4,394866.6557,7616596.878,718.949186,6/25/2019,1:25:53 PM,,
DHT89_B3_CT2_1,394882.0461,7616569.992,719.216341,6/25/2019,1:33:45 PM,,
DHT89_B3_CT2_2,394881.317,7616565.685,719.177105,6/25/2019,1:34:07 PM,,
DHT89_B3_CT2_3,394862.5668,7616574.172,719.104134,6/25/2019,1:33:46 PM,,
DHT89_B3_CT2_4,394861.6929,7616569.309,719.030077,6/25/2019,1:34:01 PM,,
DHT89_B3_EXC-CT-LF_3,394863.6942,7616581.155,718.960812,6/25/2019,1:30:20 PM,,
DHT89_B3_EXC-CT-LF_4,394862.8785,7616576.289,719.080008,6/25/2019,1:30:34 PM,,
DHT89_B3_EXC-CT-MF_5,394867.8441,7616575.45,0,6/25/2020,,,
DHT89_B3_EXC-CT-MF_6,394868.8098,7616580.557,0,6/25/2021,,,
DHT89_B3_EXC-CT-NF_1,394883.499,7616577.465,719.251698,6/25/2019,1:29:31 PM,,
DHT89_B3_EXC-CT-NF_2,394882.5069,7616572.574,719.216722,6/25/2019,1:29:51 PM,,
DHT89_B3_EXC-CT-SF_1,394872.7667,7616574.335,718.861232,6/25/2019,1:31:08 PM,,
DHT89_B3_EXC-CT-SF_2,394873.8246,7616579.246,718.969908,6/25/2019,1:31:52 PM,,
DHT89_B3_EXC-NP-LF_1,394889.7258,7616611.938,718.836196,6/25/2019,1:22:26 PM,,
DHT89_B3_EXC-NP-LF_2,394888.89,7616607.029,718.964194,6/25/2019,1:23:35 PM,,
DHT89_B3_EXC-NP-MF_5,394884.8777,7616612.868,718.964194,6/25/2020,,,
DHT89_B3_EXC-NP-MF_6,394883.8775,7616607.724,718.736379,6/25/2021,,,
DHT89_B3_EXC-NP-NF_3,394870.0161,7616615.496,718.736379,6/25/2019,1:21:43 PM,,
DHT89_B3_EXC-NP-NF_4,394869.1334,7616610.658,718.85964,6/25/2019,1:21:59 PM,,
DHT89_B3_EXC-NP-SF_3,394879.986,7616613.651,718.831652,6/25/2019,1:23:51 PM,,
DHT89_B3_EXC-NP-SF_4,394878.987,7616608.772,718.917881,6/25/2019,1:24:32 PM,,
DHT89_B3_EXTRA1_1,394886.0722,7616591.248,719.104953,6/25/2019,1:26:59 PM,,
DHT89_B3_EXTRA1_2,394885.1881,7616586.292,719.22177,6/25/2019,1:27:18 PM,,
DHT89_B3_EXTRA1_3,394866.2571,7616594.839,718.882611,6/25/2019,1:26:59 PM,,
DHT89_B3_EXTRA1_4,394865.1913,7616589.871,718.949717,6/25/2019,1:27:13 PM,,
DHT89_B3_EXTRA2_1,394879.6759,7616556.822,719.19798,6/25/2019,1:38:47 PM,,
DHT89_B3_EXTRA2_2,394878.7155,7616551.941,719.170822,6/25/2019,1:39:04 PM,,
DHT89_B3_EXTRA2_3,394860.0824,7616560.436,718.941085,6/25/2019,1:38:20 PM,,
DHT89_B3_EXTRA2_4,394859.1571,7616555.574,719.136688,6/25/2019,1:38:37 PM,,
DHT89_B3_EXTRA3_1,394884.8133,7616584.333,719.252724,6/25/2019,1:28:03 PM,,
DHT89_B3_EXTRA3_2,394883.8804,7616579.402,719.26567,6/25/2019,1:28:19 PM,,
DHT89_B3_EXTRA3_3,394865.0049,7616587.963,718.986988,6/25/2019,1:27:59 PM,,
DHT89_B3_EXTRA3_4,394864.0716,7616583.098,718.983761,6/25/2019,1:28:15 PM,,
DHT89_B3_N_1,394888.5479,7616604.953,719.043652,6/25/2019,1:24:54 PM,,
DHT89_B3_N_2,394887.6355,7616600.069,719.073504,6/25/2019,1:25:15 PM,,
DHT89_B3_N_3,394868.8253,7616608.606,718.896581,6/25/2019,1:24:58 PM,,
DHT89_B3_N_4,394867.934,7616603.775,718.917736,6/25/2019,1:25:11 PM,,
DHT89_B3_NP_1,394880.9671,7616563.731,719.24408,6/25/2019,1:37:49 PM,,
DHT89_B3_NP_2,394880.0388,7616558.778,719.284704,6/25/2019,1:38:11 PM,,
DHT89_B3_NP_3,394861.3489,7616567.255,719.034153,6/25/2019,1:37:13 PM,,
DHT89_B3_NP_4,394860.5205,7616562.439,718.8866,6/25/2019,1:37:28 PM,,
DHT89_B3_P_1,394890.9201,7616618.756,718.900338,6/25/2019,1:19:36 PM,,
DHT89_B3_P_2,394890.1153,7616613.897,718.873118,6/25/2019,1:20:18 PM,,
DHT89_B3_P_3,394871.3036,7616622.386,718.821314,6/25/2019,1:18:51 PM,,
DHT89_B3_P_4,394870.4477,7616617.456,718.764568,6/25/2019,1:20:45 PM,,
MAT06_B1_CT_01,393910.2625,7614516.547,751.22995,6/21/2019,11:30:41 AM,,
MAT06_B1_CT_02,393908.9434,7614511.747,751.239847,6/21/2019,11:31:09 AM,,
MAT06_B1_CT_03,393890.8778,7614521.666,752.192742,6/21/2019,11:31:48 AM,,
MAT06_B1_CT_04,393889.6168,7614516.968,752.403055,6/21/2019,11:32:20 AM,,
MAT06_B1_EXTRA_01,393913.7692,7614530.01,751.103457,6/21/2019,11:27:35 AM,,
MAT06_B1_EXTRA_02,393912.5913,7614525.232,751.092841,6/21/2019,11:28:04 AM,,
MAT06_B1_EXTRA_03,393894.5402,7614535.285,752.147021,6/21/2019,11:27:38 AM,,
MAT06_B1_EXTRA_04,393893.3464,7614530.606,752.192014,6/21/2019,11:28:03 AM,,
MAT06_B1_F0.5_01,393904.725,7614496.26,751.520464,6/21/2019,11:34:41 AM,,
MAT06_B1_F0.5_02,393903.4199,7614491.531,751.683453,6/21/2019,11:34:58 AM,,
MAT06_B1_F0.5_03,393885.5266,7614501.314,752.70352,6/21/2019,11:34:39 AM,,
MAT06_B1_F0.5_04,393884.2434,7614496.75,752.707563,6/21/2019,11:34:52 AM,,
MAT06_B1_F1_01,393911.9926,7614523.229,751.216541,6/21/2019,11:28:33 AM,,
MAT06_B1_F1_02,393910.7513,7614518.398,751.219271,6/21/2019,11:29:08 AM,,
MAT06_B1_F1_03,393892.8427,7614528.584,752.123116,6/21/2019,11:28:34 AM,,
MAT06_B1_F1_04,393891.4765,7614523.655,752.388966,6/21/2019,11:29:26 AM,,
MAT06_B1_F10_01,393915.5799,7614536.844,751.045208,6/21/2019,11:25:40 AM,,
MAT06_B1_F10_02,393914.3396,7614532.118,751.088521,6/21/2019,11:26:25 AM,,
MAT06_B1_F10_03,393896.3879,7614542.034,752.123346,6/21/2019,11:25:47 AM,,
MAT06_B1_F10_04,393895.0824,7614537.289,752.109116,6/21/2019,11:26:30 AM,,
MAT06_B1_F2_01,393921.0429,7614557.001,751.062183,6/21/2019,11:14:57 AM,,
MAT06_B1_F2_02,393919.7561,7614552.238,751.067632,6/21/2019,11:17:08 AM,,
